angle, distance, x, y
191.062500, 1.740000, -1.707668, -0.333871
193.812500, 1.730000, -1.679972, -0.413029
206.625000, 2.190000, -1.957770, -0.981447
215.562500, 0.570000, -0.463685, -0.331507
218.500000, 0.590000, -0.461739, -0.367284
221.812500, 92.520000, -68.957984, -61.682630
180.437500, 0.650000, -0.649981, -0.004963
9.687500, 102.810000, 101.343950, 17.300284
35.312500, 102.730000, 83.828862, 59.381604
60.750000, 102.730000, 50.196060, 89.631515
86.000000, 102.790000, 7.170268, 102.539609
111.437500, 102.810000, -37.575624, 95.697276
18.812500, 102.810000, 97.317780, 33.153368
44.437500, 102.810000, 73.407841, 71.980449
69.687500, 102.810000, 35.689490, 96.416577
95.125000, 102.800000, -9.183010, 102.389024
120.375000, 102.790000, -51.976521, 88.680468
145.812500, 102.800000, -85.036487, 57.763621
171.437500, 102.800000, -101.654195, 15.305704
196.875000, 102.810000, -98.383036, -29.844168
245.750000, 102.810000, -42.226005, -93.738256
289.500000, 102.730000, 34.291979, -96.837560
3.625000, 102.810000, 102.604301, 6.500264
29.062500, 102.790000, 89.847746, 49.931619
54.500000, 102.730000, 59.655615, 83.634087
79.375000, 102.810000, 18.956130, 101.047322
104.812500, 102.790000, -26.278950, 99.374045
130.250000, 102.790000, -66.415084, 78.452666
155.687500, 102.800000, -93.683025, 42.324116
181.187500, 102.790000, -102.767924, -2.130251
206.437500, 102.810000, -92.058187, -45.773205
242.625000, 102.810000, -47.273309, -91.296935
267.750000, 102.800000, -4.035909, -102.720745
293.375000, 102.730000, 40.757861, -94.298726
318.812500, 102.810000, 77.370549, -67.702985
344.250000, 102.790000, 98.930774, -27.901364
9.500000, 102.810000, 101.400023, 16.968544
35.125000, 102.810000, 84.088170, 59.152986
60.562500, 102.730000, 50.489109, 89.466769
85.625000, 102.790000, 7.841230, 102.490484
111.250000, 102.790000, -37.255006, 95.801089
136.687500, 102.800000, -74.799657, 70.518447
161.937500, 102.800000, -97.733899, 31.873577
187.187500, 102.810000, -102.002121, -12.863257
82.500000, 102.810000, 13.419398, 101.930446
113.437500, 102.790000, -40.884566, 94.309259
2.687500, 102.810000, 102.696922, 4.820609
91.687500, 102.810000, -3.027567, 102.765412
116.937500, 102.800000, -46.570280, 91.646325
142.375000, 102.790000, -81.412079, 62.752350
167.625000, 102.790000, -100.401765, 22.028838
193.250000, 102.810000, -100.073122, -23.564092
218.687500, 102.790000, -80.234461, -64.251190
25.437500, 102.810000, 92.843019, 44.159596
7.125000, 102.790000, 101.996247, 12.749501
2.375000, 102.810000, 102.721687, 4.260416
27.625000, 102.790000, 91.072078, 47.661942
53.062500, 102.810000, 61.783000, 82.175160
77.937500, 102.810000, 21.485086, 100.539978
103.375000, 102.790000, -23.777735, 100.002017
128.625000, 102.790000, -64.163629, 80.304500
154.250000, 102.790000, -92.582772, 44.656628
179.687500, 102.790000, -102.788471, 0.560630
205.312500, 102.810000, -92.939139, -43.956939
245.375000, 102.810000, -42.838612, -93.459881
15.312500, 102.810000, 99.160227, 27.150422
18.812500, 102.790000, 97.298848, 33.146919
14.250000, 102.810000, 99.646630, 25.307020
39.500000, 102.810000, 79.330723, 65.395202
64.937500, 102.810000, 43.550999, 93.130052
90.000000, 102.790000, 0.000000, 102.790000
115.625000, 102.790000, -44.454538, 92.679977
141.062500, 102.800000, -79.961128, 64.606951
166.500000, 102.790000, -99.949904, 23.995849
191.937500, 102.810000, -100.586612, -21.265691
217.187500, 102.790000, -81.888867, -62.128879
99.375000, 102.790000, -16.744026, 101.417068
125.000000, 102.790000, -58.957922, 84.200639
150.437500, 102.800000, -89.417293, 50.718711
175.875000, 102.800000, -102.533696, 7.394677
201.500000, 102.730000, -95.581797, -37.650671
83.062500, 102.730000, 12.408404, 101.977862
135.250000, 102.790000, -72.999955, 72.365674
3.062500, 102.730000, 102.583286, 5.488377
100.250000, 102.810000, -18.294376, 101.169224
135.250000, 102.800000, -73.007057, 72.372714
20.312500, 102.790000, 96.397821, 35.682547
275.750000, 102.810000, 10.300335, -102.292713
311.437500, 102.730000, 67.986988, -77.014429
11.875000, 102.790000, 100.590177, 21.151839
37.312500, 102.730000, 81.705407, 62.271015
62.750000, 102.790000, 47.064860, 91.382072
87.812500, 102.790000, 3.923474, 102.715094
113.625000, 102.800000, -41.196980, 94.184122
139.062500, 102.800000, -77.657667, 67.358197
163.375000, 102.790000, -98.493155, 29.408886
80.687500, 102.810000, 16.636623, 101.455009
105.937500, 102.800000, -28.227710, 98.848553
131.187500, 102.800000, -67.696400, 77.363024
156.625000, 102.790000, -94.353801, 40.781666
182.250000, 102.790000, -102.710753, -4.035516
126.437500, 102.810000, -61.063543, 82.711183
157.187500, 102.790000, -94.749621, 39.853399
105.000000, 102.790000, -26.604010, 99.287516
130.437500, 102.800000, -66.677950, 78.242514
155.562500, 102.800000, -93.590466, 42.528399
181.187500, 102.800000, -102.777922, -2.130458
206.437500, 102.810000, -92.058187, -45.773205
104.625000, 102.810000, -25.958659, 99.478863
135.250000, 102.790000, -72.999955, 72.365674
84.000000, 102.810000, 10.746571, 102.246796
